adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/cu3uaBqPORcfpKQWaIjA1GJbvEg.jpg,15000000,http://www.mamamovie.com/,132232,tt2023587,en,Mama,"Guillermo del Toro presents Mama, a supernatural thriller that tells the haunting tale of two little girls who disappeared into the woods the day that their parents were killed. When they are rescued years later and begin a new life, they find that someone or something still wants to come tuck them in at night.",6.6998,/eo8BhR8Q5STmWE9sMLsEPagxmy6.jpg,2013-01-17,146428180,100,False,Released,A mother's love is forever.,Mama,False,6.292,4397,PG-13
False,/cMmyQLngx0maSp6EvyK3EOPIQKM.jpg,2500000,,139038,tt2243537,en,A Haunted House,"Malcolm and Kisha move into their dream home, but soon learn a demon also resides there. When Kisha becomes possessed, Malcolm - determined to keep his sex life on track - turns to a priest, a psychic, and a team of ghost-busters for help in this spoof of all the ""found-footage/documentary style"" films released in recent years.",6.0414,/tpw6kvuAJBo1CGRw1Bwdz1KU0hc.jpg,2013-01-11,60141683,86,False,Released,This $*%! ain't paranormal.,A Haunted House,False,5.946,2040,R
False,/mJSe5dxKu8Sq0GfdjdWVqdGvzfV.jpg,50000000,,60304,tt1428538,en,Hansel & Gretel: Witch Hunters,"After getting a taste for blood as children, Hansel and Gretel have become the ultimate vigilantes, hell-bent on retribution. Now, unbeknownst to them, Hansel and Gretel have become the hunted, and must face an evil far greater than witches... their past.",4.4662,/j343Rpj3WeNvP0SV80zveve70io.jpg,2013-01-17,226349749,88,False,Released,Revenge is sweeter than candy.,Hansel & Gretel: Witch Hunters,False,6.098,7077,R
False,/iNl1i8OJAaCf3ElkOPI9ud6CuXB.jpg,35000000,,82654,tt1588173,en,Warm Bodies,"After a zombie becomes involved with the girlfriend of one of his victims, their romance sets in motion a sequence of events that might transform the entire lifeless world.",4.7545,/i8vCO3uszvlfBJVEyuIZVUDlt60.jpg,2013-01-31,117000000,98,False,Released,"He's still dead, but he's getting warmer.",Warm Bodies,False,6.469,6362,PG-13
False,/9bOjEovR9cdiFUYwZY7fyfNGWyL.jpg,6000000,,87818,tt1333125,en,Movie 43,"A series of interconnected short films are the backdrop for a maniac screenwriter who pitches insane storylines featuring some of Hollywood's biggest and brightest.  In some countries, like the United Kingdom and the Netherlands, the structure differs. Instead of a pitch, the films are connected by a group of three teenagers searching for the most banned film in the world, Movie 43, which will ultimately lead to the destruction of civilization.",5.1081,/uYa06GxHsCsELx9vOQ11vsT0Aa6.jpg,2013-01-24,32443111,98,False,Released,The biggest cast ever assembled for the most outrageous comedy ever made.,Movie 43,False,4.654,2493,R
False,/zoz4vZPe95m0RiUZtMyGeto5L02.jpg,27000000,,179826,tt1767354,en,Odd Thomas,"In a California desert town, a short-order cook with clairvoyant abilities encounters a mysterious man with a link to dark, threatening forces.",4.886,/skBMhQjHLTU1rp4gutxHp0JuY1C.jpg,2013-01-29,1149267,97,False,Released,"I might see dead people... But then, by God, I do something about it.",Odd Thomas,False,6.942,1449,PG-13
False,/w5T2Avx3FCyqhzHxzQPeIli91BJ.jpg,20000000,,76617,tt1572315,en,Texas Chainsaw 3D,"A young woman learns that she has inherited a Texas estate from her deceased grandmother. After embarking on a road trip with friends to uncover her roots, she finds she is the sole owner of a lavish, isolated Victorian mansion. But her newfound wealth comes at a price as she stumbles upon a horror that awaits her in the mansion’s dank cellars.",4.6086,/dwIQ7WDCSiIcNdbferTcU7uI0KV.jpg,2013-01-03,47340586,92,False,Released,Evil wears many faces.,Texas Chainsaw 3D,False,5.483,1809,R
False,/H4mLTEtxBpjuMRNyL0MVqw1EdN.jpg,38600000,,44865,tt1462900,zh,一代宗師,"Ip Man's peaceful life in Foshan changes after Gong Yutian seeks an heir for his family in Southern China. Ip Man then meets Gong Er who challenges him for the sake of regaining her family's honor. After the Second Sino-Japanese War, Ip Man moves to Hong Kong and struggles to provide for his family. In the mean time, Gong Er chooses the path of vengeance after her father was killed by Ma San.",4.3853,/ydBVVIscL6TsX5hYztA5YpBCwJ3.jpg,2013-01-10,64076736,130,False,Released,"In Martial Arts there is no right or wrong, only the last man standing.",The Grandmaster,False,6.623,979,PG-13
False,/vBuw223bR0jeI3GHMfCjNBCGo6.jpg,35000000,,119283,tt1904996,en,Parker,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",5.0146,/ocTaizFzASVPClHsx6VRBi5yP9Z.jpg,2013-01-23,46216641,118,False,Released,"To get away clean, you have to play dirty.",Parker,False,6.079,3251,R
False,/86yCBuxCX5PV60Y1Gp0VO6K8imM.jpg,30000000,,76640,tt1549920,en,The Last Stand,"Ray Owens is sheriff of the quiet US border town of Sommerton Junction after leaving the LAPD following a bungled operation. Following his escape from the FBI, a notorious drug baron, his gang, and a hostage are heading toward Sommerton Junction where the police are preparing to make a last stand to intercept them before they cross the border. Owens is reluctant to become involved but ultimately joins in with the law enforcement efforts.",4.4038,/3tP4r47v8v6mEj5X5RuG9y8Frbh.jpg,2013-01-12,0,107,False,Released,Not in his town. Not on his watch.,The Last Stand,False,6.079,2965,R
