adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/mRUW8rmpCS2kH22eihPbbMIbFxU.jpg,10000000,,321258,tt3882082,en,The Boy,"A young American woman takes a job as a nanny in a remote English village, soon discovering that the family's eight-year-old son is a life-sized doll that comes with a list of strict rules.",14.447,/kW2vgzhyWXQu5UxNzebPokipBqH.jpg,2016-01-22,73929392,98,False,Released,Every child needs to feel loved.,The Boy,False,5.974,3941,PG-13
False,/s3FiHTdpQVpqIqdBxLLiy40wGut.jpg,145000000,http://www.kungfupanda.com/,140300,tt2267968,en,Kung Fu Panda 3,"While Po and his father are visiting a secret panda village, an evil spirit threatens all of China, forcing Po to form a ragtag army to fight back.",12.8218,/oajNi4Su39WAByHI6EONu8G8HYn.jpg,2016-01-23,521170825,95,False,Released,Grab destiny by the dumplings.,Kung Fu Panda 3,False,6.924,6556,PG
False,/ayDMYGUNVvXS76wQgFwTiUIDNb5.jpg,50000000,http://www.thirteenhoursmovie.com/,300671,tt4172430,en,13 Hours: The Secret Soldiers of Benghazi,An American Ambassador is killed during an attack at a U.S. compound in Libya as a security team struggles to make sense out of the chaos.,7.7031,/fZlAxZMo6BId1SiqyjLmkd7oUB7.jpg,2016-01-14,69411370,144,False,Released,"When everything went wrong, six men had the courage to do what was right.",13 Hours: The Secret Soldiers of Benghazi,False,7.271,3923,R
False,/hqrwXs3KqPuU5rWoconbmQUn6rh.jpg,38000000,https://www.facebook.com/5thWaveMovie/,299687,tt2304933,en,The 5th Wave,16-year-old Cassie Sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the Stone Age.,6.6694,/ja34BV577dtjWl2S5G1tB93IjYb.jpg,2016-01-14,109906372,112,False,Released,Protect your own.,The 5th Wave,False,5.937,6007,PG-13
False,/jnnaCXTkJhwWcCJK8yZvAybrBvR.jpg,11500000,http://www.dirtygrandpa.movie/,291870,tt1860213,en,Dirty Grandpa,"Jason Kelly is one week away from marrying his boss's uber-controlling daughter, putting him on the fast track for a partnership at the law firm. However, when the straight-laced Jason is tricked into driving his foul-mouthed grandfather, Dick, to Daytona for spring break, his pending nuptials are suddenly in jeopardy. Between riotous frat parties, bar fights, and an epic night of karaoke, Dick is on a quest to live his life to the fullest and bring Jason along for the ride.",4.4501,/k0Lz1TfSlbcQthQKYGwE7blDfwN.jpg,2016-01-20,94100000,102,False,Released,Jason is ready for adulthood. His grandpa isn't.,Dirty Grandpa,False,5.938,4577,R
False,/tDM4UAaHxMrvODGIUj9ZixmyVmw.jpg,0,http://kizumonogatari-usa.com/,357786,tt3138698,ja,傷物語〈Ⅰ鉄血篇〉,"One day, Koyomi Araragi encounters the horrifying vampire, Kiss-shot Acerola-orion Heart-under-blade A.K.A. the ""King of Apparitions."" He saves the fatally wounded Kiss-shot by offering his blood at the expense of his own life as a human. Now Koyomi has to face the vampire hunters to retrieve Kiss-shot’s limbs which were taken by these hunters...",3.6973,/vftYhVOdvMCmb0dQIRIKmUYG9TU.jpg,2016-01-08,6319100,64,False,Released,Iron Blood.,Kizumonogatari Part 1: Tekketsu,False,7.675,306,R
False,/y6VYJEvzWhTCXrrv0ubiczOpVND.jpg,20000000,http://50shadesofblackmovie.com/,351819,tt4667094,en,Fifty Shades of Black,An inexperienced college student meets a wealthy businessman whose sexual practices put a strain on their relationship.,3.4796,/nkGhv7WMbyX7tL8CJkvMY3S2lW.jpg,2016-01-28,21164799,92,False,Released,Way shadier than gray.,Fifty Shades of Black,False,4.886,1403,R
False,/c6GGumaw3bvhX15NXK30heuCnaC.jpg,10000000,http://theforestisreal.com/,329440,tt3387542,en,The Forest,"Set in the Aokigahara Forest, a real-life place in Japan where people go to end their lives. Against this backdrop, a young American woman comes in search of her twin sister, who has mysteriously disappeared.",3.4522,/1TohqCqMbaiuRLJPrPW0vnQP3lE.jpg,2016-01-07,37608299,93,False,Released,Everyone comes here looking for a way out,The Forest,False,5.224,1852,R
False,/jQHjvKOc3FG3ShoKTJfp1tXoKnQ.jpg,68490000,http://themonkeykingmovie.com,381902,tt4591310,zh,西遊記之孫悟空三打白骨精,"Taking place 500 years after the Havoc in Heaven, the Tang Priest is appointed by Buddha to go to the West to fetch the sacred scriptures, only to accidentally free the Monkey King. With Lady White aiming to break up the team assembled to defeat her, the Monkey King must fight in order to save his world!",3.229,/iOApsyuFG05NaDCNHnicrln1ztM.jpg,2016-01-22,193677158,120,False,Released,,The Monkey King 2,False,5.9,112,G
False,/cQW4SHbTxprsALS3nN75RJ109uj.jpg,0,,376858,,ko,하숙집 2,"Joon-hyeok is preparing to pass the exam for 9th rank government worker. Since it is his third attempt, he must pass the exam for sure this time. He becomes to live in a boarding house, which is a part of his father’s extraordinary measures to help his son studying. But what has been waiting for Joon-hyeok in the luxurious house was not the thick text books, but the two free-spirited women. Joon-hyeok begins his cohabitation with Ah-jeong, the owner of the boarding house, who is full of voluptuous beauty, and Dal-lae, a nurse, who exudes sex appeal from both her face and body. Since then, Joon-hyeok starts to spend every night to study women not his books.",3.1565,/4czpabukI94l2kBTGTHvvvllzoF.jpg,2016-01-07,0,92,False,Released,,Boarding House 2,False,7.2,5,NR
False,/x152hzQ03o6i7R78dL2Nwwy5Qhz.jpg,40000000,http://www.ridealong.com/,323675,tt2869728,en,Ride Along 2,"As his wedding day approaches, Ben heads to Miami with his soon-to-be brother-in-law James to bring down a drug dealer who's supplying the dealers of Atlanta with product.",2.9463,/qKvVUHdiwqkXdlRsW4fHO7SAZef.jpg,2016-01-14,124827316,102,False,Released,The brothers-in-law are back,Ride Along 2,False,6.252,1791,PG-13
False,/gGeoc8rFfPRIakXNttoFU85YVwv.jpg,0,http://www.bbc.co.uk/programmes/b00t4pgh,379170,tt3845232,en,Sherlock: The Abominable Bride,Sherlock Holmes and Dr. Watson find themselves in 1890s London in this holiday special.,2.8707,/hibE8cyZs2Bm0o4WaWd1pppvjO2.jpg,2016-01-01,0,90,False,Released,Welcome to Sherlock 1895!,Sherlock: The Abominable Bride,False,7.835,2334,PG-13
False,/ixpUtvrZNwk6LBObXaNH8fh4FYf.jpg,2500000,http://wilderpeople.film,371645,tt4698684,en,Hunt for the Wilderpeople,"Ricky is a defiant young city kid who finds himself on the run with his cantankerous foster uncle in the wild New Zealand bush. A national manhunt ensues, and the two are forced to put aside their differences and work together to survive.",2.867,/hkmz9rxgcweizXNElozGeKwmAJE.jpg,2016-01-22,23900000,101,False,Released,Nature just got gangster.,Hunt for the Wilderpeople,False,7.648,2294,PG-13
False,/soW3KH0OWzTooeXPm624mMfXI0X.jpg,80000000,https://www.disneyplus.com/movies/the-finest-hours/4qRYVbzOHKwZ,300673,tt2025690,en,The Finest Hours,The Coast Guard makes a daring rescue attempt off the coast of Cape Cod after a pair of oil tankers are destroyed during a blizzard in 1952.,2.7116,/6UG91TJ4DKI6FGdqXZfDBeRZHX8.jpg,2016-01-27,52099090,117,False,Released,"32 survivors, room for 12.",The Finest Hours,False,6.6,1732,PG-13
False,/hfC2EKqnFI3TFIXKM7t8hgSs31O.jpg,0,,378462,tt5474114,cn,鴨王2,"Fung, aka “King of the Gigolos”, is now ‘retired’ and running a nightspot in Hong Kong’s Lan Kwai Fong entertainment district. He takes on a rare new client, Monica, who has reluctantly turned to prostitution to pay her mother’s medical bills. Having been referred to him for carnal guidance after a customer labels her a “dead fish”, Monica inevitably falls for Fung’s charms.",2.7044,/z9rb4RxyUpKlwQFo7UsjuZI63L3.jpg,2016-01-14,321930,96,False,Released,,The Gigolo 2,False,4.2,15,NR
False,/nwfpBjtMNFwrGjW2o9HBhMEYCpM.jpg,3500000,,366924,tt4870838,en,Batman: Bad Blood,"When Batman goes missing, it takes the entire Bat ""family"" - including Batwoman and Batwing - to keep the peace in Gotham and unravel the mystery behind the Dark Knight's disappearance.",2.5549,/ktjbGsGm5GKlHDvvwQajXvDW2BN.jpg,2016-01-19,0,74,False,Released,Justice runs in the family,Batman: Bad Blood,False,7.03,982,PG-13
False,/5CRxhRD29SNXlppdcOTg9NcFzL5.jpg,0,,461846,,ko,야한누나들,"Thyssen, as well as a friend, is an ""older sister"" of two women, Su Min and So Ra, both decide to work first, as a result, do not have time for long - lasting relationships, which causes many sexual adventures and always that can meet - If to tell this adventures.  So far, a man as one of the three interested, this would be the ""ideal home"" from then on each by itself ...",2.5203,/3mwXIPhQ7ldyj8DPkc47Dckd1Db.jpg,2016-01-01,0,80,False,Released,,Erotic Sister,False,5.6,9,NR
False,/p3j9hhyDP6e2I3BWik1YgIoXqsE.jpg,9900000,http://www.w-b-film.de/,368031,tt3352390,en,Unfriend,"Enjoying college life as a popular student, Laura shares everything with her more than 800 friends on Facebook. But one day, after accepting a friend request from a  social outcast named Marina, Laura’s life is cursed...",2.4988,/7gfG9tGRPzmVyg3nEwQrTGOJ8C6.jpg,2016-01-07,10975390,92,False,Released,Be careful who you click with.,Friend Request,False,5.556,1320,R
False,/zIoxBSm31WjusKXJXFBvqH3b4WH.jpg,0,,376252,tt5586914,ko,그날의 분위기,"A train ride brings two unlikely souls together as Bae, a committed partner of a serious 10-year relationship, sees her world turned upside down by the charming playboy Kim. Seated together on a business trip from Seoul to Busan, the two find themselves on an adventure to remember.",2.4797,/jwDsnlagaZb2jaydkemwi69Jx5B.jpg,2016-01-14,0,103,False,Released,To win her or to lose her.,Mood of the Day,False,7.2,52,NR
False,/j7xtt1lTvqInvyAke7RfrhzTEQ6.jpg,0,http://lionsgateathome.com/exposed,331962,tt4019560,en,Exposed,"After witnessing a miracle, a young Latina woman experiences strange things as a police detective searches for the truth behind his partner's death.",2.4695,/nM26QosEfgjEegONCiNNrYMBTxD.jpg,2016-01-22,269915,102,False,Released,Some secrets are better left buried,Exposed,False,4.93,572,R
False,/3wNTNGZqq2kNr6Cd2EmrQ3hKVZV.jpg,0,https://kinro.jointv.jp/lineup/160108/,404532,tt5281678,ja,ルパン三世 イタリアン・ゲーム,"Lupin investigates the kidnapping of a former love in Italy, and is drawn into a game with an unknown enemy.",2.2423,/aEr9uvhTZj9v1zXtZuSko05hV8g.jpg,2016-01-08,0,91,False,Released,,Lupin the Third: Italian Game,False,6.611,27,NR
False,/twJve9Dd26vwRCIbSvIgpBRqakN.jpg,0,http://www.kungfupanda.com,381693,tt5513770,en,Kung Fu Panda: Secrets of the Scroll,"As Po looks for his lost action figures, the story of how the panda inadvertently helped create the Furious Five is told.",2.1889,/9LsQpFS3JOLmVfIV38oI9YHMpi.jpg,2016-01-05,0,23,False,Released,,Kung Fu Panda: Secrets of the Scroll,False,6.885,235,G
False,/vWud1iHVBEQODXSJeGOtroxpJVT.jpg,0,,387810,,ko,뜨거운 이웃,"Unlike his expectations, Hyeong-min is always miserable because of his wife who who doesn't care about him. To recover a sex life with his wife, Hyeong-min tries every night but he's always coldly rejected and this is making him depressed. One day, he goes out for some air and meets Hye-jin. When their partners aren't at home, they spend time together at each others' house. However, soon, they get caught and they come to a decision after a long talk...",2.0512,/9sbrwzKHMrwDqbjtwjzUGkwDS58.jpg,2016-01-28,0,65,False,Released,"Hyeong-min wants sweet love. Finally, he gets a hot sex life!",Hot Neighbors,False,4.9,6,NR
False,/qTJqF7zWJjYM9ejfwNvPLBKgPTL.jpg,0,,576964,,ko,누나 친구,"I always love to show.every day i have a dream to her.In order to make the university in seoul. the city's children's home in her first love. jane and relative number. warm love each other too, because only part of the original two. it has been show to his uncle and is the same for you. and he is married to her, but always in love can not stop. thin clothes to show her plump figure, he looked at her fiery eyes and a wall side as she moan. the material is then stretched to his desire for her to come out to start.",2.0029,/iLoAQ370qAULWsTE8uUQeJgfp8W.jpg,2016-01-21,0,0,False,Released,,Sister Friend,False,6.7,3,NR
False,/bTU64xL4uToTjQZwICPZzMb4yZt.jpg,0,,377897,tt5042436,en,Barbie: Spy Squad,"Barbie and her best friends Teresa and Renee transform from hard-working gymnasts to undercover secret agents. When their amazing gymnastics skills catch the eye of a top-secret spy agency, the girls are soon following clues to a gem-stealing cat burglar, using high-tech gadgets, glam disguises and cute robo-pets to save the day.",1.8955,/uxdvJHE5V844dTlK2EmqRQCTYDb.jpg,2016-01-15,0,75,False,Released,An Adventure For Your Little Spy!,Barbie: Spy Squad,False,6.971,424,G
False,/xJo8xa2yL2pXH1ddgVWyYlUkSTy.jpg,0,https://www.ponican.jp/garakowa/,372756,tt5330596,ja,ガラスの花と壊す世界,"A floating space without gravity where an infinite number of lights shine in different colors: The ""Box of Wisdom."" Inside of this box, there are multiple worlds, multiple timelines, and there used to be many different people. This is where Dual and Dorothy were fighting with enemies called ""Viruses."" Worlds infected by viruses must be erased. That is the duty, the job of these girls. However, one day, Dual and Dorothy feel the presence of a new Virus. Arriving at the scene, they see a girl being attacked by Viruses. After saving the girl, the duo wait for her to awaken so they can ask who she is, where she came from, and where she is going. Finally, when the girl opened her eyes, she gave her name, Rimo, and whispered only one sentence... ""I must return to the flower patch...""",1.8412,/eElMkPzmMR6tdsMBku3DDyITTPW.jpg,2016-01-09,0,67,False,Released,,Garakowa -Restore the World-,False,5.6,15,NR
False,/66OYtF3qwyhTroxrTEOI6qohYRk.jpg,0,,365283,tt4842814,ja,残穢【ざんえ】―住んではいけない部屋―,"A novelist receives a letter from a female university student named Kubo about strange sounds that emanate from a room in her apartment. They begin to investigate incidents involving former residents, and eventually discover the shocking truths lurking inside the building.",1.6962,/3eKF02D3h8eZ2MMDUU1YtgcFxcD.jpg,2016-01-30,4,107,False,Released,,The Inerasable,False,6.8,34,NR
False,/v6bGT2CgGGs2oClMHMXUs1mgFY6.jpg,39307171,,372519,tt5431016,pt,Os Dez Mandamentos: O Filme,Follows Moses leading and conducting the Hebrew people from the slavery of Egypt to the freedom towards the Promised Land according to the Ancient Testament Bible book of the Exodus. The story told like never before is faithful to the Scriptures.,1.6807,/yctfYDrHAPcJP54D2BCH9R5GTY2.jpg,2016-01-28,37070177,120,False,Released,,The Ten Commandments: The Movie,False,7.2,308,NR
False,/8q6AJYqJzZPrNSbttcwslXx7QgO.jpg,750000,,376004,tt4044464,en,Adulterers,"On a steamy New Orleans afternoon, Sam Deuprey decides to surprise his beautiful wife, Ashley, for their anniversary and comes home early. But Ashley is not alone in the bedroom. She and her lover, Damien are about to learn how far a jealous husband will go.",1.6602,/7weaBxcimjsN9zi89Dfk4fZFCUE.jpg,2016-01-05,0,97,False,Released,Love. Betrayal. Vengeance.,Adulterers,False,6.1,105,R
False,/57b4FmA9aSNE6wiL439DlKFS5TY.jpg,3500000,http://sonyclassics.com/thebronze/,308453,tt3859304,en,The Bronze,"In 2004, Hope Ann Greggory became an American hero after winning the bronze medal for the women's gymnastics team. Today, she's still living in her small hometown, washed-up and embittered. Stuck in the past, Hope must reassess her life when a promising young gymnast threatens her local celebrity status.",1.6539,/Ah2nD3Kml59svErVsz6DUsxlJ8.jpg,2016-01-22,615816,108,False,Released,There's no place like third.,The Bronze,False,6.02,394,R
False,/u7H2X9tsn1WMYFhKlXprUEkdwX4.jpg,3000000,,400384,tt5445444,zh,惡人谷,"Set in old rural district, Charlie pretends to be an ALS patient so he can gain sympathy from others. He runs a charity organization where he secretly carries out all sorts of nasty business. The village chief Fung Yan-bing is a dishonest man who likes to test others with money and take advantage of them. Along comes a beautiful woman named Yu Zan, a materialistic lady who loves money more than anything. However, the woman is carrying the baby of her ex-boyfriend who is a well-known tycoon's heir. The arrival of the baby will soon change the mentalities and nature of the three problematic human beings",1.6475,/3hsski2jCGXaBbltnpK9flqBkCz.jpg,2016-01-21,0,100,False,Released,,House of Wolves,False,4.8,8,NR
False,/wnpd7yVf632G1RWB7OnSbx2Rpxw.jpg,0,,237584,tt2322517,en,Mojave,"A suicidal artist goes into the desert, where he finds his doppelgänger, a homicidal drifter.",1.6302,/eZLpBNG84wAI5c9XCQBa7w78ElX.jpg,2016-01-22,8602,93,False,Released,,Mojave,False,5.01,147,R
False,/2cF9cEUAg5HiYkieUGT485IvJ92.jpg,0,,426850,tt6448388,ja,鬼談百景,"Based on Fuyumi Ono's best-selling books, these 10 tales of spookiness by six Japanese horror directors are designed to chill viewers to the bone.",1.6252,/aJ6DCVAOhXhgY8JZiezdWVzknbz.jpg,2016-01-23,0,100,False,Released,,Kidan Piece of Darkness,False,5.9,8,NR
False,/kckxCJXjj0yhUf4OO1Nt8MfgfSU.jpg,0,,380254,tt4788944,ko,"로봇, 소리","While desperately searching for his missing daughter, Hae-kwan comes across an AI satellite robot that remembers sounds from all over the world. Rejuvenated by the robot's abilities, Hae-kwan begins to track down his daughter's voice. As they continue their journey, they form an unforgettable bond.",1.5932,/ssSm8ZpOdKffynphV0z2ENYUNwm.jpg,2016-01-27,0,117,False,Released,I think this robot will find my daughter...,Sori: Voice from the Heart,False,6.7,17,NR
False,/sYbdAWcTqcdLtpAnwIWjrIw6t0r.jpg,0,,359983,tt4938602,en,The Lion Guard: Return of the Roar,"Set in the African savannah, the film follows Kion as he assembles the members of the 'Lion Guard'. Throughout the film, the diverse team of young animals will learn how to utilize each of their unique abilities to solve problems and accomplish tasks to maintain balance within the Circle of Life, while also introducing viewers to the vast array of animals that populate the prodigious African landscape.",1.5367,/pzcQ7cQBHIdsKLN4exd7bCyy1pk.jpg,2016-01-25,0,44,False,Released,A new hero finds his roar!,The Lion Guard: Return of the Roar,False,6.7,1219,G
False,/j8CYtEaAqzialXEjoah5RwuzZYH.jpg,2570000,,375108,tt4471388,ru,Мафия: Игра на выживание,A twist on the classic game of Mafia. 12 competitors take part in a game of life and death where the innocent must take out the Mafia in order to win the cash prize. Those that are voted out must face their biggest fears in a computer simulation.,1.5322,/fApl3x5biYZ9dE16wXCPlArj7R9.jpg,2016-01-01,4026795,91,False,Released,,Mafia: Survival Game,False,4.436,110,NR
False,/3FWdwZgkNoqK6wnBsoG1SxGl7gy.jpg,0,,402397,tt5298526,de,Sag mir nichts,"Lena is happily married. From the strange man in the S-Bahn but such a pull goes out that she gets involved in a spontaneous infidelity. The stranger, Martin, also thought that the marriage with his wife was completely safe. Nevertheless, what should actually be written off as an adventure between Lena and Martin is becoming the projection screen for newly created needs and longings. Lena and Martin can not let go of each other.",1.523,/A2j6QSwuuv52EtUC94cNT63Qa4l.jpg,2016-01-22,0,90,False,Released,,Sag mir nichts,False,5.3,26,NR
False,/79AK6c4ZyErGj4tJqE4GMLuSAo4.jpg,0,,379880,tt5093754,ko,오빠생각,"Second Lieutenant Han Sang-yeol leads his platoon during the Korean War in the early 1950s. He carries emotional scars and pain within. So when he meets some children from a choir, who have lost everything in the war, Sang-yeol is deeply moved and tries to protect to them.",1.4786,/i71EsFi3ChgXZVYc4fwC65mU6QY.jpg,2016-01-21,0,124,False,Released,"In the center of war, voices of hope rise.",A Melody to Remember,False,8.3,27,NR
False,/zEN20mbbIu85oF6xcBNx17XWpKX.jpg,0,,382258,tt4360406,ja,ピンクとグレー,"Popular actor Rengo Shiraki dies suddenly. Due to his sudden death, unpopular actor Daiki Kawata attracts the spotlight due to his close friendship with Rengo. Did Rengo Shiraki commit suicide or was he murdered?",1.4713,/gvEYbXctJji73vnMUaF2VvNiMR8.jpg,2016-01-09,0,119,False,Released,,Pink and Gray,False,6.5,13,NR
False,/hyDT1K9GxNSMJ2XyA5TLLORjHng.jpg,0,,380007,tt5328352,zh,一切都好,"When all four of his children cancel their yearly visits, a widower travels to the far corners of the country to see them and discovers the hidden sides of their lives.",1.4298,/zWoLDKdSN10EQQsCVLxFzJtu6dt.jpg,2016-01-01,0,105,False,Released,,Everybody's Fine,False,5.5,4,NR
False,/bgYM1l7b9Y2oKq2875yQSGp7XK8.jpg,0,,394856,tt5436486,zh,消失的愛人,"The ghost of a woman who died after an avalanche returns to live with her husband, who has not been able to overcome her death.",1.4094,/gNF2orMYaDumNSfjqq5PQkfcQlv.jpg,2016-01-15,0,104,False,Released,,The Secret,False,8.0,3,NR
