adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/yriYPLqyFqPW0QXaegT1KmWXk9a.jpg,13000000,,1954,tt0289879,en,The Butterfly Effect,"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences.",7.3803,/ea5iv7TWMh18fOKoRGgmtcg85Gx.jpg,2004-01-17,96800000,113,False,Released,Change one thing. Change everything.,The Butterfly Effect,False,7.575,8193,R
False,/giQy3vmsOIbNCMZ9EAZScSQZ3jo.jpg,40000000,,10718,tt0329691,en,Torque,"Biker Cary Ford is framed by an old rival and biker gang leader for the murder of another gang member who happens to be the brother of Trey, leader of the most feared biker gang in the country. Ford is now on the run trying to clear his name from the murder with Trey and his gang looking for his blood.",3.24,/pY35tW8BMAjZewl87OxjXK8ui02.jpg,2004-01-16,46546197,84,False,Released,Circuit of Fire,Torque,False,5.286,632,PG-13
False,/rZPpxJhROE2Q6umzH6nxDUi1x9M.jpg,17820000,,21778,tt0357111,fr,RRRrrrr!!!,"In 35,000 BC, the tribe of the Dirty Hairs is at war against the tribe of the Clean Hairs for eight hundred years, trying to get their shampoo. The chief of the Dirty Hairs sends his daughter Guy disguised to the enemy tribe to get some shampoo for his tribe. When the healer of the Clean Hairs tribe surprisingly kills two cavemen of his tribe, their imbecile chief assigns Pierre with curled hair and Pierre blonde to investigate the murder and find the criminal.",3.3864,/qsGU6myn85MfqpNAxzJtxJ3VgrM.jpg,2004-01-28,14054361,98,False,Released,,RRRrrrr!!!,False,6.297,1248,NR
False,/d0oHN3xA6TxOvADW64OiyYFpLOf.jpg,42000000,,5966,tt0343135,en,Along Came Polly,"Reuben Feffer is a guy who's spent his entire life playing it safe. Polly Prince is irresistible as a free-spirit who lives for the thrill of the moment. When these two comically mismatched souls collide, Reuben's world is turned upside down, as he makes an uproarious attempt to change his life from middle-of-the-road to totally-out-there.",3.097,/7Tp16THdpHkMrqgoiDresDz9CWL.jpg,2004-01-16,178300000,90,False,Released,"For the most cautious man on Earth, life is about to get interesting.",Along Came Polly,False,6.029,3008,PG-13
False,/rcJynPuUuSBuzOmahUTasliurzr.jpg,532673,,15775,tt0332136,en,If Only,"After his impetuous musician girlfriend, Samantha, dies in an accident shortly after they had a fight (and nearly broke up), Ian Wyndham, a grief-stricken British businessman living in London gets a chance to relive the day all over again, in the hope of changing the events that led up to her getting killed.",2.8968,/m55qCh44VzrDhWSINr1MdB7RtAb.jpg,2004-01-23,3000000,92,False,Released,He loved her like there was no tomorrow.,If Only,False,7.029,646,PG-13
False,/1NSRfeWDoZXCLdgYrG1GvJj8JZL.jpg,8000000,,14114,tt0365957,en,You Got Served,"At Mr. Rad's Warehouse, the best hip-hop crews in Los Angeles compete for money and respect. But when a suburban crew crashes the party, stealing their dancers — and their moves — two warring friends have to pull together to represent the street.",2.2218,/nFwT3QisWFQa3Wlfnw1gC458xJn.jpg,2004-01-30,50576805,95,False,Released,"If you want respect, you've got to take it.",You Got Served,False,6.341,468,PG-13
False,/diEr7cut4E9f7Xw3bMjXDblS8Rx.jpg,0,,2003,tt0348529,fr,Anatomie de l'enfer,"A woman employs a gay man to spend four nights at her house to watch her when she's ""unwatchable"".",2.4296,/nr4e20gzCo6woVSYBXwKFFNssAt.jpg,2004-01-28,345000,77,False,Released,,Anatomy of Hell,False,4.811,148,NR
False,/9J759jTIcQhmeeiD5bDuXI7iOoC.jpg,1000000,https://www.sho.com/titles/120440/speak,15058,tt0378793,en,Speak,"Freshman high-school student Melinda has refused to speak ever since she called the cops on a popular summer party. With her old friends snubbing her for being a rat, and her parents too busy to notice her troubles, she folds into herself, trying to hide her secret: that star senior Andy raped her at the party. But Melinda does manage to find solace in her art class headed by Mr. Freeman.",2.3948,/oRjQJG2PziTl2bUvzUCFS16ncfj.jpg,2004-01-20,0,93,False,Released,The Truth Will Change Everything.,Speak,False,7.056,521,PG-13
False,,0,,689958,,ar,Kelmat Rjal,,0.8747,/w2ZjActTJ5ATGBAmPKfKabCcrdb.jpg,2004-01-01,0,0,False,Released,,Kelmat Rjal,False,0.0,0,NR
False,/a7FjMHK3AQVbAcVOeQoeEAxTDU0.jpg,0,,49214,tt0390205,ko,말죽거리 잔혹사,A model student transfers to the notorious Jungmoon High School known for its severe corporal punishment by teachers and power struggles between school gangs.,1.7819,/sUQcZdu7EfYC9Ljz7vanUJfzVQg.jpg,2004-01-15,0,116,False,Released,Spirit of jeet kune do.,Once Upon a Time in High School,False,7.269,91,NR
False,/cXlUiO1keDZAiSo9432x2H5yb6Y.jpg,23000000,,14844,tt0360139,en,Chasing Liberty,"The President's daughter, unable to experience life like a normal 18 year-old, escapes from her entourage of Secret Service agents while traveling in Europe. She falls in love with a handsome British stranger, who also happens to be working undercover for her father.",1.8987,/aGh5zpJSuxcx4lzFFbZ2QyY8wQP.jpg,2004-01-09,12195626,111,False,Released,How do you fall in love with the whole world watching?,Chasing Liberty,False,6.231,649,PG-13
False,/vQPnfxzlsK2nQMHnfk8d2p5PF4t.jpg,0,,20256,tt0450996,th,บอดี้การ์ดหน้าเหลี่ยม,"Wong, bodyguard to a tycoon, is fired by his boss's son after he fails to save his boss. Now, the assassins are after the son, who takes refuge in a slum. Wong, meanwhile, tackles the villain's goons.",2.3632,/u4Rjt0slnaWmptbHKrUoKWIxmmb.jpg,2004-01-21,0,97,False,Released,Thailand's top bodyguard.,The Bodyguard,False,5.898,59,NR
False,/2VtpkzTFLJHdGQK4TM7cwXztA6i.jpg,0,,15981,tt0439533,ja,デッド　リーブス,"Pandy and Retro awaken naked on Earth with no recollection of their past. They embark on a crime spree in search of food and clothing, but are captured by authorities and sent to the infamous lunar penitentiary named Dead Leaves.",2.2893,/jpsqSocm0o978PRChacBoTlTida.jpg,2004-01-17,0,52,False,Released,Breaking out of prison was never this much… fun?,Dead Leaves,False,7.011,137,NR
False,/gZ16KLmIrYHTpReUN1YlKD60a3i.jpg,0,,45430,tt0401410,cn,鬼馬狂想曲,"In Hong Kong 1969, private investigation agency boss Man is investigating an extra marital case. With his two employees, the smart looking idiot Kit and the Hong Kong Columbia Radio Night School graduate Pufferfish, he follows the target Lascar Row. The trio stumbles into an antique shop and breaks many antiques in the store. The cheap Man force Kit and Pufferfish to take responsibility. Kit wisely makes Pufferfish take sole responsibility. The dumb Pufferfish helpless buys the pile of shattered antiques with his own money. In the pieces he finds a broken magic lamp...",1.8816,/jRN1gkDKG0RqMtn6lq5oVxyiehM.jpg,2004-01-15,0,103,False,Released,,Fantasia,False,6.647,17,NR
False,/8PLq5IKRuY866i5Um0uHngsMtCq.jpg,5000000,,10891,tt0334541,en,Tremors 4: The Legend Begins,"In 1889, seventeen men die under mysterious circumstances, and spooked by recent events, the miners who populate the town leave in droves until there's nothing left but a shell of a community.",2.2224,/yhh1zMGoy6nYSXMgrsYoNRbclJn.jpg,2004-01-02,0,101,False,Released,A Revolution Has Begun...,Tremors 4: The Legend Begins,False,5.744,515,PG-13
False,/bVJoDBC5Z2im0951jLV4ZvieTyD.jpg,0,,36223,tt0388556,ja,ゼブラーマン,"A down-and-out schoolteacher receives the calling to become the real life personification of an old television superhero, Zebraman.",2.0238,/3kBangW2OBBNkqYyp48blW9cwE5.jpg,2004-01-30,3070596,115,False,Released,,Zebraman,False,6.28,91,NR
False,/lhiLBuFJcRC0wkjsj04vfAfZWPm.jpg,0,,10361,tt0353489,en,Ginger Snaps 2: Unleashed,Brigitte has escaped the confines of Bailey Downs but she's not alone. Another werewolf is tailing her closely and her sister's specter haunts her. An overdose of Monkshood - the poison that is keeping her transformation at bay - leads to her being incarcerated in a rehabilitation clinic for drug addicts where her only friend is an eccentric young girl by the name of Ghost.,1.5467,/no1Qw1jMGrH77fIuWxwYZ7BIhHa.jpg,2004-01-30,0,94,False,Released,It only dies if you do.,Ginger Snaps 2: Unleashed,False,6.438,362,NR
False,/5eHrR3zNBpcoSOFsLmOQn9iWaym.jpg,0,,48644,tt0419482,ar,الباشا تلميذ,The film revolves in the context of romantic comedy and action through the character of a police officer under covered as student in a university and befriends key students to uncover a drug distribution network within the university.,1.9186,/1gVpkTX7KKz9YVXyN1ls4heWHxr.jpg,2004-01-27,0,110,False,Released,,The Student Cop,False,6.511,45,NR
False,/g5QRbgrgRwaSyDfcCPUhP6XcilR.jpg,0,http://www.iron-jawed-angels.com,49007,tt0338139,en,Iron Jawed Angels,"Defiant young activists take the women's suffrage movement by storm, putting their lives at risk to help American women win the right to vote.",1.4777,/pLtbTAIBpoRrQxnfTVB0y0wVEKK.jpg,2004-01-16,0,125,False,Released,Votes for women.,Iron Jawed Angels,False,6.77,89,NR
False,/u7brIZ1clOun8Mc5x2Au6NScMxg.jpg,3200000,,16632,tt0395677,ko,내 사랑 싸가지,"After being dumped by her boyfriend just before their 100-day anniversary, Ha-young meets a college guy named Hyung-joon when she kicks a can that accidentally hits him in the face and causes him to scratch his Lexus. He demands she pay him $3000 on the spot.",1.4228,/4kTS3R0NR7Y5t1OpIuVWURlFYBF.jpg,2004-01-16,0,95,False,Released,,100 Days with Mr. Arrogant,False,6.468,107,NR
False,/8ue7D9xhG3ZOpjqt6zI6xdpx1A0.jpg,0,,45407,tt0390043,ko,그녀를 모르면 간첩,Ko-bong has a huge crush on Gye-soon who works at a fast food restaurant without knowing that the girl he love is a spy from North Korea.,1.2916,/sUmRUcomkWWqrYEZriaKt76NXN6.jpg,2004-01-30,0,102,False,Released,,Spy Girl,False,6.638,40,NR
