adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/wzfTG1obTazlGXiIcfRIviBZ1QU.jpg,50000000,https://www.lionsgate.com/movies/rambo,7555,tt0462499,en,Rambo,"In Thailand, ex-Green Beret John James Rambo joins a group of mercenaries to venture into war-torn neighboring Myanmar to rescue a group of Christian aid workers who have been kidnapped by a ruthless local infantry unit.",6.7046,/3mInub5c8o00H7EJ1TrjAqOzIuc.jpg,2008-01-24,113200000,92,False,Released,"Live for nothing, or die for something.",Rambo,False,6.694,4250,R
False,/6ms6RdNcQUAnjBY26aM85xC2wV0.jpg,25000000,,7191,tt1060277,en,Cloverfield,"Five young New Yorkers throw their friend a going-away party the night that a monster the size of a skyscraper descends upon the city. Told from the point of view of their video camera, the film is a document of their attempt to survive the most surreal, horrifying event of their lives.",6.0961,/qIegUGJqyMMCRjkKV1s7A9MqdJ8.jpg,2008-01-15,170764026,85,False,Released,Some thing has found us.,Cloverfield,False,6.709,7749,PG-13
False,/esArWR9sImBpEgq3sHCPyP5mcfd.jpg,30000000,http://www.27dressesthemovie.com/,6557,tt0988595,en,27 Dresses,Altruistic Jane finds herself facing her worst nightmare as her younger sister announces her engagement to the man Jane secretly adores.,5.9963,/rEfourJfgEyKiewwH8ZkUYt9AqE.jpg,2008-01-10,160300000,111,False,Released,She's about to find the perfect fit.,27 Dresses,False,6.454,3402,PG-13
False,/1eQbatDhpk8WCCebAgXyCQHVhW2.jpg,0,,150262,tt3237708,ja,秘書 黒蠍の誘惑,"Inspired by the work of Japanese eroticist Oniroku Dan, this scintillating thriller follows the career trajectory of an executive secretary as she ascends the latter of success and has a chance encounter with an ex-colleague. Before long, she's fallen into a dangerous world of taboo sex and sadomasochism",5.3993,/oDf1SISqS7lxEzlfoqWx02EtSBo.jpg,2008-01-01,0,0,False,Released,,Passions of a Private Secretary,False,4.5,5,NR
False,/7y0ol1zsvs0GbYR0BdTvWdOIDHo.jpg,20000000,,13688,tt0940709,cn,長江七號,"A poor construction worker, who struggles to keep his son in private school, mistakes an orb he finds in a junkjard for a toy which proves to be much, much more once the young boy starts to play with it.",3.9696,/sRzSfpSb3wYYshbaiMRIuFCJJGU.jpg,2008-01-30,47301471,88,False,Released,It's out of this world.,CJ7,False,7.302,786,PG
False,/8D3dBwSoPSGWRusbTYS8oR1tAu9.jpg,30000000,https://www.newregency.com/movies/meet-the-spartans,7278,tt1073498,en,Meet the Spartans,"The heroic Leonidas, armed with nothing but leather underwear and a cape, leads a ragtag group of thirteen Spartans to defend their homeland against the invading Persians (whose ranks include Ghost Rider, Rocky Balboa, the Transformers, and a hunchbacked Paris Hilton). No one is safe when the Spartans take on the biggest icons in pop culture!",3.769,/DWQOjAPvM8Kk1Qp3Xq0zae0Z6w.jpg,2008-01-24,85897593,84,False,Released,"The bigger the hit, the harder they fall.",Meet the Spartans,False,4.086,1842,PG-13
False,/eIjrpeXSiSq0CN6AE44trDAPRau.jpg,35000000,http://www.sonypictures.com/movies/untraceable/,8090,tt0880578,en,Untraceable,"Special Agent Jennifer Marsh works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.",2.9573,/ySUwDRDEn01lKIMPQorpFCMLWqE.jpg,2008-01-22,52659594,101,False,Released,A cyber killer has finally found the perfect accomplice: You.,Untraceable,False,6.242,984,R
False,/3ScUr2Ng8uvuEw7TWi2XwnIy2o4.jpg,2000000,,13121,tt0780622,en,Teeth,"Dawn is an active member of her high-school chastity club but, when she meets Tobey, nature takes its course, and the pair answer the call. They suddenly learn she is a living example of the vagina dentata myth, when the encounter takes a grisly turn.",2.7706,/p7OIPkN2LOBprQxQx7EZBa6m6W4.jpg,2008-01-18,2340110,94,False,Released,Every rose has its thorns.,Teeth,False,5.391,806,R
False,/vWcJ4qWHNwxxXPs9NwTWoWEHlXo.jpg,20000000,https://www.sonypictures.com/movies/firstsunday,14423,tt0486578,en,First Sunday,"Durell and LeeJohn are best friends and bumbling petty criminals. When told they have one week to pay a $17,000 debt or Durell will lose his son, they come up with a desperate scheme to rob their neighborhood church. Instead, they end up spending the night in the presence of the Lord and are forced to deal with much more than they bargained for.",2.4139,/9l0sdc7ohLe6TdFsYyCTBnVn1F8.jpg,2008-01-11,38800000,96,False,Released,Keep the faith. Steal the rest.,First Sunday,False,5.646,263,PG-13
False,/mGG8qqSBK7EKN2cOVBlVef1Y3N4.jpg,0,,12085,tt0951216,en,Mad Money,Three female employees of the Federal Reserve plot to steal money that is about to be destroyed.,2.4093,/z6b6rQ1ZFEkM4tSt84yPtdAioCO.jpg,2008-01-17,0,104,False,Released,Think green,Mad Money,False,6.469,712,PG-13
