adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/9ywA15OAiwjSTvg3cBs9B7kOCBF.jpg,55000000,http://www.fiftyshadesmovie.com,337167,tt4477536,en,Fifty Shades Freed,"Believing they have left behind shadowy figures from their past, newlyweds Christian and Ana fully embrace an inextricable connection and shared life of luxury. But just as she steps into her role as Mrs. Grey and he relaxes into an unfamiliar stability, new threats could jeopardize their happy ending before it even begins.",18.1638,/jjPJ4s3DWZZvI4vw8Xfi4Vqa1Q8.jpg,2018-01-17,371985018,105,False,Released,Don't miss the climax.,Fifty Shades Freed,False,6.673,8333,R
False,/ufUAOM5aVizNf8d5YLoutqrrlhq.jpg,62000000,https://www.20thcenturystudios.com/movies/maze-runner-the-death-cure,336843,tt4500922,en,Maze Runner: The Death Cure,"Thomas leads his group of escaped Gladers on their final and most dangerous mission yet. To save their friends, they must break into the legendary Last City, a WCKD-controlled labyrinth that may turn out to be the deadliest maze of all. Anyone who makes it out alive will get answers to the questions the Gladers have been asking since they first arrived in the maze.",8.0743,/drbERzlA4cuRWhsTXfFOY4mRR4f.jpg,2018-01-10,288418190,143,False,Released,The end will be WCKD.,Maze Runner: The Death Cure,False,7.082,8370,PG-13
False,/gQEfeFzEDhvz1YB3JXU2yUZspmH.jpg,30000000,,449443,tt1259528,en,Den of Thieves,A gritty crime saga which follows the lives of an elite unit of the LA County Sheriff's Dept. and the state's most successful bank robbery crew as the outlaws plan a seemingly impossible heist on the Federal Reserve Bank.,7.0044,/4cahr8gscRMjxbOJ8PddKGjH5NB.jpg,2018-01-18,80509622,140,False,Released,Cops without limits. Thieves without fear.,Den of Thieves,False,6.866,3384,R
False,/naNXYdBzTEb1KwOdi1RbBkM9Zv1.jpg,35000,http://terrifier3.com,420634,tt4281724,en,Terrifier,A maniacal clown named Art terrorizes three young women on Halloween night and everyone else who stands in his way.,6.7395,/fjXqhGmaeQpB73WerhrYU6HlyV5.jpg,2018-01-25,421798,84,False,Released,You never forget your first kill.,Terrifier,False,6.311,2945,NR
False,/x5EUEv1N9g4BCX9GQXKvv3nqMVo.jpg,35000000,https://12strongmovie.com,429351,tt1413492,en,12 Strong,A team of special forces head into Afghanistan in the aftermath of the September 11th attacks in an attempt to dismantle the Taliban.,5.6776,/37Qwani2g0jVPU7N4OkkTZ7aERz.jpg,2018-01-18,67450815,130,False,Released,The declassified true story of the horse soldiers,12 Strong,False,6.356,3180,R
False,/3AXR3AFTHdU38OR14jfcK8FjJ5H.jpg,0,,494656,tt6772418,es,La leyenda del Charro Negro,"After releasing the Chupacabras, Leo San Juan decides that it is time to return together with his brother Nando to his grandmother's house. Halfway down the road, Charro Negro manages to confuse Leo and because of him, an innocent girl is dragged into the underworld. Leo is forced to repair the damage. His friends will come to try to help him and get out of there as soon as possible. But it is no coincidence that the Charro has chosen to involve Leo, his intentions go beyond getting a new soul.",4.7398,/fDLJ5vIeRL68cIHlob11w2pBzH0.jpg,2018-01-19,5300000,85,False,Released,,The Legend of the Black Charro,False,8.108,195,NR
False,/auSRjQyVLw212IjATAbO3KOyxZg.jpg,10000000,http://www.insidiousmovie.com,406563,tt5726086,en,Insidious: The Last Key,"Parapsychologist Elise Rainier and her team travel to Five Keys, NM, to investigate a man’s claim of a haunting. Terror soon strikes when Rainier realizes that the house he lives in was her family’s old home.",4.7397,/6c9ti2JcR3dHyR3qFXoZqVMx0SH.jpg,2018-01-03,172811971,103,False,Released,Fear comes home.,Insidious: The Last Key,False,6.254,3125,PG-13
False,/x8jPq4FiXN9Ub0nxilyFVp4OdPL.jpg,0,,700199,tt33511617,ko,엄마친구 4,"Min Jung's husband has been traveling for 300 days and she feels lonely. When her friend Chung Hee moves in next door, Min Jung often visits her house, during which she keeps meeting Jae Ho, Jung Hee's son. After having an impulsive affair with Jae Ho, Min Jung tries to forget about it, saying, ""It was a mistake,"" but she keeps remembering his young body.",4.3046,/szssOJ10ZixWA5gZrfYhdKOI0SZ.jpg,2018-01-08,0,77,False,Released,,Mom's Friend 4,False,6.071,7,NR
False,/srnI5CdeydB9E8WNOqblj0jRfSn.jpg,30000000,https://thecommuter.movie,399035,tt1590193,en,The Commuter,"A businessman, on his daily commute home, gets unwittingly caught up in a criminal conspiracy that threatens not only his life but the lives of those around him.",4.0324,/rDeGK6FIUfVcXmuBdEORPAGPMNg.jpg,2018-01-11,119942387,104,False,Released,Lives are on the line,The Commuter,False,6.364,4634,PG-13
False,/gEsBPNcGAuNBU5MGaOAlnm6uDe7.jpg,3500000,http://www.forevermygirlthemovie.com,417261,tt4103724,en,Forever My Girl,"After being gone for a decade, a country star returns home to the love he left behind.",4.0003,/bKqdggnIPeOI15VqtBZTkvh4hA9.jpg,2018-01-26,16367326,108,False,Released,Find your way back home.,Forever My Girl,False,7.603,1373,PG
