adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/vBTRaVlbBIwENXW0HC2qNbu4chL.jpg,0,,278986,tt1436327,bn,গাঙ্গর,An Italian film from Italo Spinelli,28.8823,/jf3Wa4ZIpHDhDkjUQ0PaUW7gyJM.jpg,2011-01-01,0,92,False,Released,,Gangor,False,5.5,2,NR
False,/dYb6kgvoGjUH59n2uB4eV9xqmKR.jpg,40000000,http://www.themechanicmovie.com/,27582,tt0472399,en,The Mechanic,"Arthur Bishop is a 'mechanic' - an elite assassin with a strict code requiring professional perfection and total detachment. One of an elite group of assassins, Bishop may be the best in the business - with a unique talent for cleanly eliminating targets. When Harry McKenna, his close friend and mentor, is murdered, Harry's son comes to him with vengeance in his heart and a desire to learn Bishop's trade, signaling the birth of a deadly partnership.",6.6817,/i8IcT4oBKL793qyo91P1RnhroiQ.jpg,2011-01-13,51070807,93,False,Released,Someone has to fix the problems.,The Mechanic,False,6.527,3575,R
False,/rSEfKLHDZKiMQWsyJIfKr9D0CaC.jpg,25000000,http://www.nostringsattachedmovie.com/,41630,tt1411238,en,No Strings Attached,"Emma is a busy doctor who sets up a seemingly perfect arrangement when she offers her best friend Adam a relationship with one rule: No strings attached. But when a fling becomes a thing, can sex friends stay best friends?",5.5672,/9C09L1U9S13J4Ut029Qhu0oLcTQ.jpg,2011-01-21,149200000,107,False,Released,Friendship has its benefits.,No Strings Attached,False,6.295,4973,R
False,/lCR2wcqu6BBF7vFF3TqqDartccO.jpg,0,,68341,tt1632547,ja,冷たい熱帯魚,"When fish shop owner Shamoto's teenage daughter Mitsuko is caught stealing, a generous middle-aged man named Murata helps resolve the situation. The man and his wife offer to have Mitsuko work at their opposing fish store. Shamoto soon discovers that something far more sinister lives behind Murata's friendly demeanor.",4.6043,/669GmEZsyMlPliURX5myHTStslv.jpg,2011-01-29,0,146,False,Released,He'll make you pick up the pieces.,Cold Fish,False,6.915,396,NR
False,/9A4LywU6zVpkVwjk4EjNwUH3RGs.jpg,0,,51481,tt1679235,en,Mean Girls 2,"Confident senior Jo begins the new school year by breaking her own cardinal rule: don't get involved in girl drama. but when she sees timid Abby preyed upon by Queen Bee Mandi and her minions, she takes sides in a viciously funny girl-world-war that turns North Shore High School upside down.",3.9483,/34zKHT98ZgSCz6ag1ZNBul7f1Wu.jpg,2011-01-23,0,96,False,Released,Mean has met its match.,Mean Girls 2,False,5.245,1296,PG-13
False,/w3LLngJIAA1R7Mp2S3G0HZl2R3H.jpg,36000000,http://gnomeoandjuliet.com/,45772,tt0377981,en,Gnomeo & Juliet,"A version of Shakespeare's play, set in the world of warring indoor and outdoor gnomes. Garden gnomes Gnomeo and Juliet have as many obstacles to overcome as their quasi namesakes when they are caught up in a feud between neighbors. But with plastic pink flamingos and lawnmower races in the mix, can this young couple find lasting happiness?",3.7514,/vVQwgfS9gSFviVT4gS7tZAmhRFc.jpg,2011-01-13,189712432,84,False,Released,The greatest love story you have never gnome.,Gnomeo & Juliet,False,5.901,2067,G
False,/9Lm94WVtV4HPxr7NWNlwkhLKSeH.jpg,40000000,http://www.seasonofthewitchmovie.com,23047,tt0479997,en,Season of the Witch,"A 14th century Crusader returns with his comrade to a homeland devastated by the Black Plague. The Church commands the two knights to transport a witch to a remote abbey, where monks will perform a ritual in hopes of ending the pestilence.",3.3657,/dNVqi8EsBtnnwfR6TgiWM51JOuS.jpg,2011-01-07,91627228,95,False,Released,Not all souls can be saved.,Season of the Witch,False,5.523,2634,PG-13
False,/aBCn1z1tJGivVhY1nHSrXOQqQwG.jpg,120000000,http://www.sonypictures.com/movies/thegreenhornet/,40805,tt0990407,en,The Green Hornet,"Britt Reid, the heir to the largest newspaper fortune in Los Angeles, is a spoiled playboy who has been, thus far, happy to lead an aimless life. After his father dies, Britt meets Kato, a resourceful company employee. Realizing that they have the talent and resources to make something of their lives, Britt and Kato join forces as costumed crime-fighters to bring down the city's most-powerful criminal, Chudnofsky.",3.3468,/1YrRviphr3eXPus9iHyQX56QgIE.jpg,2011-01-12,227817248,119,False,Released,Breaking the Law to Protect It.,The Green Hornet,False,5.595,3471,PG-13
False,/lewuyD46yg3pjZpxqMLwfudIwWz.jpg,29000000,http://shaolinmovie.emp.hk/,55292,tt1533749,zh,新少林寺,"China is plunged into strife as feuding warlords try to expand their power by warring over neighboring lands. Fuelled by his success on the battlefield, young and arrogant Hao Jie sneers at Shaolin's masters when he beats one of them in a duel. But the pride comes before a fall. When his own family is wiped out by a rival warlord, Hao is forced to take refuge with the monks. As the civil unrest spreads and the people suffer, Hao and the Shaolin masters are forced to take a fiery stand against the evil warlords. They launch a daring plan or rescue and escape.",3.2067,/stvd0u2Pmy2VjdZHbFIEvCwDzRV.jpg,2011-01-20,33662874,131,False,Released,"In a land torn by strife, the righteous monks of Shaolin stand as a beacon of hope for the oppressed masses.",Shaolin,False,6.86,411,R
False,/hU4OdICqRXj3JFnSJsrR0SJejZy.jpg,17000000,http://www.sonypictures.com/movies/beastly,38117,tt1152398,en,Beastly,"A modern-day take on the ""Beauty and the Beast"" tale where a New York teen is transformed into a hideous monster in order to find true love.",2.8733,/uSAXWZsSD0pE4HYVUiDgusnEyyl.jpg,2011-01-21,43200000,86,False,Released,Love is never ugly.,Beastly,False,6.306,2863,PG-13
False,/qJxSCLGqkSdlvDBIbPqCnCnvV70.jpg,37000000,http://whatdoyoubelieve.warnerbros.com/,48171,tt1161864,en,The Rite,"Seminary student Michael Kovak reluctantly attends exorcism school at the Vatican. While he’s in Rome, Michael meets an unorthodox priest who introduces him to the darker side of his faith, uncovering the devil’s reach even to one of the holiest places on Earth.",2.6438,/gRTxM95huMwIDfZBJWjuifMTfpx.jpg,2011-01-28,96047633,114,False,Released,You can only defeat it when you believe.,The Rite,False,6.1,2225,PG-13
False,/oVQz1ap01KgBvrUZXGHvTfnmArW.jpg,0,,56906,tt1504403,en,Husk,"A group of friends stranded near a desolate cornfield find shelter in an old farmhouse, though they soon discover the dwelling is the center of a supernatural ritual.",2.1553,/UEPf0BcMkicqn7y20MzXKWj75c.jpg,2011-01-28,0,83,False,Released,Join the harvest.,Husk,False,5.78,371,R
False,/FTpFec420ztDa6HSpwLxGuwzis.jpg,3500000,,56590,tt1699114,en,All Star Superman,"Lex Luthor enacts his plan to rid the world of Superman, once and for all. Succeeding with solar radiation poisoning, the Man of Steel is slowly dying. With what little times remains, the Last Son of Krypton must confront the revealing of his secret identity to Lois Lane and face Luthor in a final battle.",2.1467,/30GAgK0SvrRoopHlEcrchXqD0hf.jpg,2011-01-01,0,76,False,Released,"The measure of a man lies not in what he says, but what he does.",All Star Superman,False,6.866,551,PG
False,/fgA9yAUvGBiuCQDOvGUbhMIofad.jpg,70000000,http://www.thedilemmamovie.com,44564,tt1578275,en,The Dilemma,"Longtime friends Ronny and Nick are partners in an auto-design firm. They are hard at work on a presentation for a dream project that would really launch their company. Then Ronny spots Nick's wife out with another man, and in the process of investigating the possible affair, he learns that Nick has a few secrets of his own. As the presentation nears, Ronny agonizes over what might happen if the truth gets out.",1.8486,/a7EVBTqeh6NoCFDW24qIp11kyi9.jpg,2011-01-13,67112664,111,False,Released,Two best friends. Nothing could come between them... or could it?,The Dilemma,False,5.33,913,PG-13
