adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/cFcXilLbI7yjPIYB58AZiOyUnoh.jpg,85000000,,47971,tt1293847,en,xXx: Return of Xander Cage,"Xander Cage is left for dead after an incident, though he secretly returns to action for a new, tough assignment with his handler Augustus Gibbons.",14.5232,/hba8zREJpP1AYhaXgb2oJLQeO0K.jpg,2017-01-13,346118277,107,False,Released,"There are no more patriots, just rebels and tyrants.",xXx: Return of Xander Cage,False,6.133,9211,PG-13
False,/9pkZesKMnblFfKxEhQx45YQ2kIe.jpg,9000000,http://www.splitmovie.com/,381288,tt4972582,en,Split,"Though Kevin has evidenced 23 personalities to his trusted psychiatrist, Dr. Fletcher, there remains one still submerged who is set to materialize and dominate all the others. Compelled to abduct three teenage girls led by the willful, observant Casey, Kevin reaches a war for survival among all of those contained within him — as well as everyone around him — as the walls between his compartments shatter apart.",10.6958,/lli31lYTFpvxVBeFHWoe5PMfW5s.jpg,2017-01-19,278454358,117,False,Released,Kevin has 23 distinct personalities. The 24th is about to be unleashed.,Split,False,7.341,18285,PG-13
False,/a3NOEcibKplRenveK0bJhQY2LRL.jpg,0,http://itakiss-movie.com/,438657,tt5336234,ja,イタズラなKiss THE MOVIE2 キャンパス編,"Based on a popular manga series of the same name, this Japanese romantic comedy sequel continues the story of Kotoko, a bubbly and cheerful girl and her crush, the handsome and aloof Naoki, as they enter the same university. Although they are in separate majors, Kotoko is determined to spend as much time with Naoki as possible and joins the tennis club with him, but all that awaits her is severe training and a love rival.",7.6125,/y6cugLEPDfBkbTCGv32RVq8P2DZ.jpg,2017-01-27,0,104,False,Released,,Mischievous Kiss the Movie Part 2: Campus,False,7.3,7,NR
False,/1ZSWFzAP4AZuFCigZZoib2RdcUO.jpg,4000000,https://www.filmfactoryentertainment.com/films/the-invisible-guest,411088,tt4857264,es,Contratiempo,"Barcelona, Spain. Adrián Doria, a young and successful businessman accused of murder, meets one night with Virginia Goodman, an expert interrogation lawyer, in order to devise a defense strategy.",7.3527,/fptnZJbLzKUHeNlYrAynbyoL5YJ.jpg,2017-01-06,30000000,107,False,Released,"Every story has two sides. The truth, only one.",The Invisible Guest,False,8.081,4951,NR
False,/cx1TBJARKMvyaRnPArevBdruK8.jpg,0,,432991,tt4948838,es,Demonios tus ojos,"Oliver, a young film director, discovers on a porn Web site one night that the protagonist of one of the erotic videos is his younger half-sister Aurora. In the process of finding out what she was doing there, Oliver will become fascinated by his sister.",5.3387,/sU3xrLwWGAnZtkK9JP5CoaJ0ERa.jpg,2017-01-31,0,94,False,Released,,Sister of Mine,False,5.2,55,NR
False,/sLjeApi5odpyEoCzAnbr5DycL3z.jpg,22000000,https://www.uphe.com/movies/a-dogs-purpose,381289,tt1753383,en,A Dog's Purpose,A dog goes on quest to discover his purpose in life over the course of several lifetimes with multiple owners.,4.7212,/3jcNvhtVQe5Neoffdic39fRactM.jpg,2017-01-19,205000000,100,False,Released,Every dog happens for a reason.,A Dog's Purpose,False,7.637,3515,PG
False,/2rW2u3nuObirCeejJYnUCItAv0E.jpg,0,,453133,,ko,형님아내3 (아랫집 부인),"My sister and I moved into a new house. We didn't do much but the woman downstairs came up to ask us to keep it down.  She said she was sensitive so we decided to keep it down.  Her gangster husband would beat her when he came home drunk.  Every time I heard her suffer from the beatings, I couldn't stand it and would stomp the floor to create a distraction.  She would come up telling us to be quiet.  I told her I did it intentionally. I also decided to do something about the woman who showed interest in me by memorizing my number.",4.7141,/3YFrjGe4jm5geExd5iRpcpeTPB.jpg,2017-01-14,0,90,False,Released,,My Brother's Wife 3: The Woman Downstairs,False,4.6,5,NR
False,/As12wwHuVa9Jtnd6XHX58RkzBFc.jpg,0,,437542,tt12625184,ko,딸의 친구,"Won-gi lost his wife a long time ago and is running a pension outside of the city. Then one day, Won-gi's daughter and her friend Se-yeong stays in the pension during a break from their school in Seoul. However, Won-gi finds himself attracted to the friend who is so much like his dead wife. Then he crosses a line that he shouldn't have crossed...",4.4179,/bR1ID2VvQIHrWKdToWKc3mIpeyW.jpg,2017-01-19,0,82,False,Released,,I Don't Like Younger Men,False,4.2,4,NR
False,/lrZXLxzq9NaFJ0TzyJOH2HKsrWH.jpg,8520000,,434119,tt5606538,ko,공조,"When a crime organization from North Korea crosses borders and enters South Korean soil, a South Korean detective must cooperate with a North Korean detective to investigate their whereabouts.",3.7575,/gw1iBP09ZaxUgHlvmPpC4Y7dgq6.jpg,2017-01-18,56100000,125,False,Released,"Joint mission, hidden intentions.",Confidential Assignment,False,6.87,146,NR
False,/1Cs5jJDVpyBsp3NDPTGRwftFym.jpg,0,http://kizumonogatari-usa.com/,362585,tt5084198,ja,傷物語〈Ⅲ冷血篇〉,"With help from Meme Oshino, the apparition specialist, Koyomi defeats the three powerful vampire hunters: Dramaturgy, Episode and Guillotinecutter. Koyomi takes back all the limbs of Kiss-shot Acerola-orion Heart-under-blade in order to become a human again.",3.7326,/rfKHhHvSwyCv59Ow6wuGX67RkXR.jpg,2017-01-06,817874,83,False,Released,Cold blood.,Kizumonogatari Part 3: Reiketsu,False,7.994,231,R
