adult,backdrop_path,budget,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,release_date,revenue,runtime,softcore,status,tagline,title,video,vote_average,vote_count,certification
False,/8p8VIkTyeL9udfYJJHewWdhRLEO.jpg,0,,630586,tt9110170,en,Wrong Turn,"Jen and a group of friends set out to hike the Appalachian Trail. Despite warnings to stick to the trail, the hikers stray off course—and cross into land inhabited by The Foundation, a hidden community of mountain dwellers who use deadly means to protect their way of life.",7.9639,/4U1SBHmwHkNA0eHZ2n1CuiC1K1g.jpg,2021-01-26,4829926,110,False,Released,We still haven't learned.,Wrong Turn,False,5.946,1309,R
False,/1McO40rFBnUSz0EB2EwYQlUv9LV.jpg,0,,776797,tt13872248,zh,哭悲,"A young couple is pushed to the limits of sanity as they attempt to be reunited amid the chaos of a pandemic outbreak. The streets erupt into violence and depravity, as those infected are driven to enact the most cruel and ghastly things imaginable.",7.2248,/mi5lh2brPMzuWYddyUKuCtcnjt1.jpg,2021-01-22,0,100,False,Released,It feels...wonderful...,The Sadness,False,6.817,1102,R
False,/vfuzELmhBjBTswXj2Vqxnu5ge4g.jpg,30000000,https://www.thelittlethingsmovie.com,602269,tt10016180,en,The Little Things,"Deputy Sheriff Joe ""Deke"" Deacon joins forces with Sgt. Jim Baxter to search for a serial killer who's terrorizing Los Angeles. As they track the culprit, Baxter is unaware that the investigation is dredging up echoes of Deke's past, uncovering disturbing secrets that could threaten more than his case.",5.6263,/tLO1aD1ghdtVMT32z2sRmzgYKYd.jpg,2021-01-28,29942746,128,False,Released,Some things never let us go.,The Little Things,False,6.347,2815,R
False,/5Zv5KmgZzdIvXz2KC3n0MyecSNL.jpg,23000000,https://www.themarksmanmovie.com,634528,tt6902332,en,The Marksman,"Jim Hanson’s quiet life is suddenly disturbed by two people crossing the US/Mexico border – a woman and her young son – desperate to flee a Mexican cartel. After a shootout leaves the mother dead, Jim becomes the boy’s reluctant defender. He embraces his role as Miguel’s protector and will stop at nothing to get him to safety, as they go on the run from the relentless assassins.",5.4373,/6vcDalR50RWa309vBH1NLmG2rjQ.jpg,2021-01-15,23076711,108,False,Released,Justice comes down to him.,The Marksman,False,6.788,1732,PG-13
False,/4kIRrW1AlHP5Idne8CPHeQt8nR5.jpg,0,,550205,tt5562070,en,Wish Dragon,Determined teen Din is longing to reconnect with his childhood best friend when he meets a wish-granting dragon who shows him the magic of possibilities.,5.4318,/lnPf6hzANL6pVQTxUlsNYSuhT5l.jpg,2021-01-15,25860000,99,False,Released,Three magical wishes. One life changing adventure.,Wish Dragon,False,7.834,1472,PG
False,/mlBmnjDJfsAhvqRVc2aFOjsfh8M.jpg,0,https://tv.apple.com/movie/palmer/umc.cmc.40qrv09i2yfh8iilyi4s8vfi,458220,tt6857376,en,Palmer,"After 12 years in prison, former high school football star Eddie Palmer returns home to put his life back together—and forms an unlikely bond with Sam, an outcast boy from a troubled home. But Eddie's past threatens to ruin his new life and family.",4.2337,/xSDdRAjxKAGi8fUBLOqSrBhJmF0.jpg,2021-01-28,0,110,False,Released,Family is who you make it.,Palmer,False,8.1,1895,R
False,/563sRDK3rZS31TXCdTY4lfcwrNK.jpg,5000000,https://www.searchlightpictures.com/nomadland,581734,tt9770150,en,Nomadland,"A woman in her sixties embarks on a journey through the western United States after losing everything in the Great Recession, living as a van-dwelling modern-day nomad.",3.6875,/dKT8rGDR55cM1vGn7QZLA9Tg9YC.jpg,2021-01-29,39458207,108,False,Released,See you down the road.,Nomadland,False,7.175,3340,R
False,/lOSdUkGQmbAl5JQ3QoHqBZUbZhC.jpg,0,https://www.netflix.com/title/81074110,775996,tt10451914,en,Outside the Wire,"In the near future, a drone pilot is sent into a deadly militarized zone and must work with an android officer to locate a doomsday device.",3.2964,/6XYLiMxHAaCsoyrVo38LBWMw2p8.jpg,2021-01-15,0,116,False,Released,Defiant by design.,Outside the Wire,False,6.354,1923,R
False,/sGIfwDYvfU0h1G7pGWEhdEi9hT2.jpg,0,https://roadshow.com.au/titles/movies/roadshow/2021/the-dry,567797,tt5144174,en,The Dry,Aaron Falk returns to his drought-stricken hometown to attend a tragic funeral. But his return opens a decades-old wound - the unsolved death of a teenage girl.,3.2808,/zM12bfL2TEqVRXjiQIFUWUMLcCg.jpg,2021-01-01,15576286,117,False,Released,Where the truth lies.,The Dry,False,6.792,824,R
False,/893hqH2OLQo1Vv0dwHtQmrfP3fT.jpg,0,https://www.tbscontents.com/en/program/wemadeabeautifulbouquet,695932,tt11219254,ja,花束みたいな恋をした,"Two people meet each other after missing the last train home, leading to a beautiful relationship over five years.",3.24,/73EMVPCQ3G2mTLgXJrFuOgxJfkp.jpg,2021-01-29,0,124,False,Released,My heart was pounding as I had a feeling that something was about to happen.,We Made a Beautiful Bouquet,False,7.748,113,NR
